IMPLEMENTATION,NUM_THREADS,TIME(s)
col_prevent_par,2,0.0981356,worst_scenario.xml
col_prevent_par,2,0.100143,worst_scenario.xml
col_prevent_par,2,0.101361,worst_scenario.xml
col_prevent_par,2,0.101482,worst_scenario.xml
col_prevent_par,2,0.101129,worst_scenario.xml
col_prevent_par,2,35.4371,big_scenario.xml
col_prevent_par,2,35.1939,big_scenario.xml
col_prevent_par,2,35.6285,big_scenario.xml
col_prevent_par,2,35.9338,big_scenario.xml
col_prevent_par,2,35.6935,big_scenario.xml
col_prevent_par,4,0.139929,lab3-scenario.xml
col_prevent_par,4,0.135014,lab3-scenario.xml
col_prevent_par,4,0.137633,lab3-scenario.xml
col_prevent_par,4,0.137794,lab3-scenario.xml
col_prevent_par,4,0.13487,lab3-scenario.xml
col_prevent_par,4,0.086565,worst_scenario.xml
col_prevent_par,4,0.11535,worst_scenario.xml
col_prevent_par,4,0.111145,worst_scenario.xml
col_prevent_par,4,0.114102,worst_scenario.xml
col_prevent_par,4,0.114253,worst_scenario.xml
col_prevent_par,4,18.7184,big_scenario.xml
col_prevent_par,4,20.2893,big_scenario.xml
col_prevent_par,4,19.4497,big_scenario.xml
col_prevent_par,4,20.3546,big_scenario.xml
col_prevent_par,4,19.968,big_scenario.xml
